,"O*NET-SOC 2000 Code, 6dig","O*NET-SOC 2006 Code, 6dig","O*NET-SOC 2000 Codes, 8dig","O*NET-SOC 2006 Codes, 8dig, Left","O*NET-SOC 2000 Titles, 8dig","O*NET-SOC 2006 Titles, 8dig, Left","O*NET-SOC 2009 Code, 6dig","O*NET-SOC 2006 Codes, 8dig, Right","O*NET-SOC 2009 Codes, 8dig, Left","O*NET-SOC 2006 Titles, 8dig, Right","O*NET-SOC 2009 Titles, 8dig, Left","O*NET-SOC 2010 Code, 6dig","O*NET-SOC 2009 Codes, 8dig, Right","O*NET-SOC 2010 Codes, 8dig, Left","O*NET-SOC 2009 Titles, 8dig, Right","O*NET-SOC 2010 Titles, 8dig, Left","O*NET-SOC 2019 Code, 6dig","O*NET-SOC 2010 Codes, 8dig, Right","O*NET-SOC 2019 Codes, 8dig, Left","O*NET-SOC 2010 Titles, 8dig, Right","O*NET-SOC 2019 Titles, 8dig, Left"
409,29-2034,29-2034,29-2034.00 AND 29-2034.01 AND 29-2034.02,29-2034.00 AND 29-2034.01 AND 29-2034.02,Radiologic Technologists and Technicians AND Radiologic Technologists AND Radiologic Technicians,Radiologic Technologists and Technicians AND Radiologic Technologists AND Radiologic Technicians,29-2034,29-2034.00 AND 29-2034.01 AND 29-2034.02,29-2034.00 AND 29-2034.01 AND 29-2034.02,Radiologic Technologists and Technicians AND Radiologic Technologists AND Radiologic Technicians,Radiologic Technologists and Technicians AND Radiologic Technologists AND Radiologic Technicians,29-2099,29-2034.00 AND 29-2034.02,29-2099.06,Radiologic Technologists and Technicians AND Radiologic Technicians,Radiologic Technicians,29-2034,29-2099.06,29-2034.00,Radiologic Technicians,Radiologic Technologists and Technicians
410,29-2034,29-2034,29-2034.00 AND 29-2034.01 AND 29-2034.02,29-2034.00 AND 29-2034.01 AND 29-2034.02,Radiologic Technologists and Technicians AND Radiologic Technologists AND Radiologic Technicians,Radiologic Technologists and Technicians AND Radiologic Technologists AND Radiologic Technicians,29-2034,29-2034.00 AND 29-2034.01 AND 29-2034.02,29-2034.00 AND 29-2034.01 AND 29-2034.02,Radiologic Technologists and Technicians AND Radiologic Technologists AND Radiologic Technicians,Radiologic Technologists and Technicians AND Radiologic Technologists AND Radiologic Technicians,29-2099,29-2034.00 AND 29-2034.02,29-2099.06,Radiologic Technologists and Technicians AND Radiologic Technicians,Radiologic Technicians,29-2036,29-2099.00,29-2036.00,"Health Technologists and Technicians, All Other",Medical Dosimetrists
411,29-2034,29-2034,29-2034.00 AND 29-2034.01 AND 29-2034.02,29-2034.00 AND 29-2034.01 AND 29-2034.02,Radiologic Technologists and Technicians AND Radiologic Technologists AND Radiologic Technicians,Radiologic Technologists and Technicians AND Radiologic Technologists AND Radiologic Technicians,29-2034,29-2034.00 AND 29-2034.01 AND 29-2034.02,29-2034.00 AND 29-2034.01 AND 29-2034.02,Radiologic Technologists and Technicians AND Radiologic Technologists AND Radiologic Technicians,Radiologic Technologists and Technicians AND Radiologic Technologists AND Radiologic Technicians,29-2099,29-2034.00 AND 29-2034.02,29-2099.06,Radiologic Technologists and Technicians AND Radiologic Technicians,Radiologic Technicians,29-2099,29-2099.00 AND 29-2099.01 AND 29-2099.05,29-2099.00 AND 29-2099.01 AND 29-2099.05,"Health Technologists and Technicians, All Other AND Neurodiagnostic Technologists AND Ophthalmic Medical Technologists","Health Technologists and Technicians, All Other AND Neurodiagnostic Technologists AND Ophthalmic Medical Technologists"
412,29-2034,29-2034,29-2034.00 AND 29-2034.01 AND 29-2034.02,29-2034.00 AND 29-2034.01 AND 29-2034.02,Radiologic Technologists and Technicians AND Radiologic Technologists AND Radiologic Technicians,Radiologic Technologists and Technicians AND Radiologic Technologists AND Radiologic Technicians,29-2034,29-2034.00 AND 29-2034.01 AND 29-2034.02,29-2034.00 AND 29-2034.01 AND 29-2034.02,Radiologic Technologists and Technicians AND Radiologic Technologists AND Radiologic Technicians,Radiologic Technologists and Technicians AND Radiologic Technologists AND Radiologic Technicians,29-2099,29-2034.00 AND 29-2034.02,29-2099.06,Radiologic Technologists and Technicians AND Radiologic Technicians,Radiologic Technicians,29-9093,29-2099.07,29-9093.00,Surgical Assistants,Surgical Assistants
413,29-2099,29-2099,29-2099.99,29-2099.99,"Health Technologists and Technicians, All Other","Health Technologists and Technicians, All Other",29-2099,29-2099.99,29-2099.00,"Health Technologists and Technicians, All Other","Health Technologists and Technicians, All Other",29-2099,29-2099.00 AND 29-2099.01 AND 29-2099.03,29-2099.00 AND 29-2099.01 AND 29-2099.05,"Health Technologists and Technicians, All Other AND Electroneurodiagnostic Technologists AND Ophthalmic Medical Technologists and Technicians","Health Technologists and Technicians, All Other AND Neurodiagnostic Technologists AND Ophthalmic Medical Technologists",29-2034,29-2099.06,29-2034.00,Radiologic Technicians,Radiologic Technologists and Technicians
414,29-2099,29-2099,29-2099.99,29-2099.99,"Health Technologists and Technicians, All Other","Health Technologists and Technicians, All Other",29-2099,29-2099.99,29-2099.00,"Health Technologists and Technicians, All Other","Health Technologists and Technicians, All Other",29-2099,29-2099.00 AND 29-2099.01 AND 29-2099.03,29-2099.00 AND 29-2099.01 AND 29-2099.05,"Health Technologists and Technicians, All Other AND Electroneurodiagnostic Technologists AND Ophthalmic Medical Technologists and Technicians","Health Technologists and Technicians, All Other AND Neurodiagnostic Technologists AND Ophthalmic Medical Technologists",29-2036,29-2099.00,29-2036.00,"Health Technologists and Technicians, All Other",Medical Dosimetrists
415,29-2099,29-2099,29-2099.99,29-2099.99,"Health Technologists and Technicians, All Other","Health Technologists and Technicians, All Other",29-2099,29-2099.99,29-2099.00,"Health Technologists and Technicians, All Other","Health Technologists and Technicians, All Other",29-2099,29-2099.00 AND 29-2099.01 AND 29-2099.03,29-2099.00 AND 29-2099.01 AND 29-2099.05,"Health Technologists and Technicians, All Other AND Electroneurodiagnostic Technologists AND Ophthalmic Medical Technologists and Technicians","Health Technologists and Technicians, All Other AND Neurodiagnostic Technologists AND Ophthalmic Medical Technologists",29-2099,29-2099.00 AND 29-2099.01 AND 29-2099.05,29-2099.00 AND 29-2099.01 AND 29-2099.05,"Health Technologists and Technicians, All Other AND Neurodiagnostic Technologists AND Ophthalmic Medical Technologists","Health Technologists and Technicians, All Other AND Neurodiagnostic Technologists AND Ophthalmic Medical Technologists"
416,29-2099,29-2099,29-2099.99,29-2099.99,"Health Technologists and Technicians, All Other","Health Technologists and Technicians, All Other",29-2099,29-2099.99,29-2099.00,"Health Technologists and Technicians, All Other","Health Technologists and Technicians, All Other",29-2099,29-2099.00 AND 29-2099.01 AND 29-2099.03,29-2099.00 AND 29-2099.01 AND 29-2099.05,"Health Technologists and Technicians, All Other AND Electroneurodiagnostic Technologists AND Ophthalmic Medical Technologists and Technicians","Health Technologists and Technicians, All Other AND Neurodiagnostic Technologists AND Ophthalmic Medical Technologists",29-9093,29-2099.07,29-9093.00,Surgical Assistants,Surgical Assistants
417,29-2041,29-2041,29-2041.00,29-2041.00,Emergency Medical Technicians and Paramedics,Emergency Medical Technicians and Paramedics,29-2041,29-2041.00,29-2041.00,Emergency Medical Technicians and Paramedics,Emergency Medical Technicians and Paramedics,29-2041,29-2041.00,29-2041.00,Emergency Medical Technicians and Paramedics,Emergency Medical Technicians and Paramedics,29-2042,29-2041.00,29-2042.00,Emergency Medical Technicians and Paramedics,Emergency Medical Technicians
418,29-2041,29-2041,29-2041.00,29-2041.00,Emergency Medical Technicians and Paramedics,Emergency Medical Technicians and Paramedics,29-2041,29-2041.00,29-2041.00,Emergency Medical Technicians and Paramedics,Emergency Medical Technicians and Paramedics,29-2041,29-2041.00,29-2041.00,Emergency Medical Technicians and Paramedics,Emergency Medical Technicians and Paramedics,29-2043,29-2041.00,29-2043.00,Emergency Medical Technicians and Paramedics,Paramedics
419,29-2051,29-2051,29-2051.00,29-2051.00,Dietetic Technicians,Dietetic Technicians,29-2051,29-2051.00,29-2051.00,Dietetic Technicians,Dietetic Technicians,29-2051,29-2051.00,29-2051.00,Dietetic Technicians,Dietetic Technicians,29-2051,29-2051.00,29-2051.00,Dietetic Technicians,Dietetic Technicians
420,29-2052,29-2052,29-2052.00,29-2052.00,Pharmacy Technicians,Pharmacy Technicians,29-2052,29-2052.00,29-2052.00,Pharmacy Technicians,Pharmacy Technicians,29-2052,29-2052.00,29-2052.00,Pharmacy Technicians,Pharmacy Technicians,29-2052,29-2052.00,29-2052.00,Pharmacy Technicians,Pharmacy Technicians
421,29-2053,29-2053,29-2053.00,29-2053.00,Psychiatric Technicians,Psychiatric Technicians,29-2053,29-2053.00,29-2053.00,Psychiatric Technicians,Psychiatric Technicians,29-2053,29-2053.00,29-2053.00,Psychiatric Technicians,Psychiatric Technicians,29-2053,29-2053.00,29-2053.00,Psychiatric Technicians,Psychiatric Technicians
422,29-2054,29-2054,29-2054.00,29-2054.00,Respiratory Therapy Technicians,Respiratory Therapy Technicians,29-2054,29-2054.00,29-2054.00,Respiratory Therapy Technicians,Respiratory Therapy Technicians,29-2054,29-2054.00,29-2054.00,Respiratory Therapy Technicians,Respiratory Therapy Technicians,29-2099,29-2054.00,29-2099.00,Respiratory Therapy Technicians,"Health Technologists and Technicians, All Other"
423,29-2055,29-2055,29-2055.00,29-2055.00,Surgical Technologists,Surgical Technologists,29-2055,29-2055.00,29-2055.00,Surgical Technologists,Surgical Technologists,29-2055,29-2055.00,29-2055.00,Surgical Technologists,Surgical Technologists,29-2055,29-2055.00,29-2055.00,Surgical Technologists,Surgical Technologists
424,29-2056,29-2056,29-2056.00,29-2056.00,Veterinary Technologists and Technicians,Veterinary Technologists and Technicians,29-2056,29-2056.00,29-2056.00,Veterinary Technologists and Technicians,Veterinary Technologists and Technicians,29-2056,29-2056.00,29-2056.00,Veterinary Technologists and Technicians,Veterinary Technologists and Technicians,29-2056,29-2056.00,29-2056.00,Veterinary Technologists and Technicians,Veterinary Technologists and Technicians
425,29-2061,29-2061,29-2061.00,29-2061.00,Licensed Practical and Licensed Vocational Nurses,Licensed Practical and Licensed Vocational Nurses,29-2061,29-2061.00,29-2061.00,Licensed Practical and Licensed Vocational Nurses,Licensed Practical and Licensed Vocational Nurses,29-2061,29-2061.00,29-2061.00,Licensed Practical and Licensed Vocational Nurses,Licensed Practical and Licensed Vocational Nurses,29-2061,29-2061.00,29-2061.00,Licensed Practical and Licensed Vocational Nurses,Licensed Practical and Licensed Vocational Nurses
426,29-2071,29-2071,29-2071.00,29-2071.00,Medical Records and Health Information Technicians,Medical Records and Health Information Technicians,29-2071,29-2071.00,29-2071.00,Medical Records and Health Information Technicians,Medical Records and Health Information Technicians,29-2071,29-2071.00,29-2071.00,Medical Records and Health Information Technicians,Medical Records and Health Information Technicians,29-2072,29-2071.00,29-2072.00,Medical Records and Health Information Technicians,Medical Records Specialists
427,29-2071,29-2071,29-2071.00,29-2071.00,Medical Records and Health Information Technicians,Medical Records and Health Information Technicians,29-2071,29-2071.00,29-2071.00,Medical Records and Health Information Technicians,Medical Records and Health Information Technicians,29-2071,29-2071.00,29-2071.00,Medical Records and Health Information Technicians,Medical Records and Health Information Technicians,29-9021,29-2071.00,29-9021.00,Medical Records and Health Information Technicians,Health Information Technologists and Medical Registrars
428,29-2081,29-2081,29-2081.00,29-2081.00,"Opticians, Dispensing","Opticians, Dispensing",29-2081,29-2081.00,29-2081.00,"Opticians, Dispensing","Opticians, Dispensing",29-2081,29-2081.00,29-2081.00,"Opticians, Dispensing","Opticians, Dispensing",29-2081,29-2081.00,29-2081.00,"Opticians, Dispensing","Opticians, Dispensing"
429,29-2091,29-2091,29-2091.00,29-2091.00,Orthotists and Prosthetists,Orthotists and Prosthetists,29-2091,29-2091.00,29-2091.00,Orthotists and Prosthetists,Orthotists and Prosthetists,29-2091,29-2091.00,29-2091.00,Orthotists and Prosthetists,Orthotists and Prosthetists,29-2091,29-2091.00,29-2091.00,Orthotists and Prosthetists,Orthotists and Prosthetists
430,29-2099,29-2099,29-2099.99,29-2099.99,"Health Technologists and Technicians, All Other","Health Technologists and Technicians, All Other",29-2099,29-2099.99,29-2099.00,"Health Technologists and Technicians, All Other","Health Technologists and Technicians, All Other",29-1161,29-2099.04,29-1161.00,Nurse Midwives,Nurse Midwives,29-1161,29-1161.00,29-1161.00,Nurse Midwives,Nurse Midwives
431,29-2099,29-2099,29-2099.99,29-2099.99,"Health Technologists and Technicians, All Other","Health Technologists and Technicians, All Other",29-2099,29-2099.99,29-2099.00,"Health Technologists and Technicians, All Other","Health Technologists and Technicians, All Other",29-2057,29-2099.03,29-2057.00,Ophthalmic Medical Technologists and Technicians,Ophthalmic Medical Technicians,29-2057,29-2057.00,29-2057.00,Ophthalmic Medical Technicians,Ophthalmic Medical Technicians
432,29-2099,29-2099,29-2099.99,29-2099.99,"Health Technologists and Technicians, All Other","Health Technologists and Technicians, All Other",29-2099,29-2099.99,29-2099.00,"Health Technologists and Technicians, All Other","Health Technologists and Technicians, All Other",29-2092,29-2099.02,29-2092.00,Hearing Aid Specialists,Hearing Aid Specialists,29-2092,29-2092.00,29-2092.00,Hearing Aid Specialists,Hearing Aid Specialists
433,29-9011,29-9011,29-9011.00,29-9011.00,Occupational Health and Safety Specialists,Occupational Health and Safety Specialists,29-9011,29-9011.00,29-9011.00,Occupational Health and Safety Specialists,Occupational Health and Safety Specialists,29-9011,29-9011.00,29-9011.00,Occupational Health and Safety Specialists,Occupational Health and Safety Specialists,19-5011,29-9011.00,19-5011.00,Occupational Health and Safety Specialists,Occupational Health and Safety Specialists
434,29-9012,29-9012,29-9012.00,29-9012.00,Occupational Health and Safety Technicians,Occupational Health and Safety Technicians,29-9012,29-9012.00,29-9012.00,Occupational Health and Safety Technicians,Occupational Health and Safety Technicians,29-9012,29-9012.00,29-9012.00,Occupational Health and Safety Technicians,Occupational Health and Safety Technicians,19-5012,29-9012.00,19-5012.00,Occupational Health and Safety Technicians,Occupational Health and Safety Technicians
435,29-9091,29-9091,29-9091.00,29-9091.00,Athletic Trainers,Athletic Trainers,29-9091,29-9091.00,29-9091.00,Athletic Trainers,Athletic Trainers,29-9091,29-9091.00,29-9091.00,Athletic Trainers,Athletic Trainers,29-9091,29-9091.00,29-9091.00,Athletic Trainers,Athletic Trainers
436,29-9099,29-9099,29-9099.99,29-9099.99,"Healthcare Practitioners and Technical Workers, All Other","Healthcare Practitioners and Technical Workers, All Other",29-9099,29-9099.99,29-9099.00,"Healthcare Practitioners and Technical Workers, All Other","Healthcare Practitioners and Technical Workers, All Other",29-9092,29-9099.02,29-9092.00,Genetic Counselors,Genetic Counselors,29-9092,29-9092.00,29-9092.00,Genetic Counselors,Genetic Counselors
437,29-9099,29-9099,29-9099.99,29-9099.99,"Healthcare Practitioners and Technical Workers, All Other","Healthcare Practitioners and Technical Workers, All Other",29-9099,29-9099.99,29-9099.00,"Healthcare Practitioners and Technical Workers, All Other","Healthcare Practitioners and Technical Workers, All Other",29-9099,29-9099.00 AND 29-9099.01,29-9099.00 AND 29-9099.01,"Healthcare Practitioners and Technical Workers, All Other AND Midwives","Healthcare Practitioners and Technical Workers, All Other AND Midwives",29-9021,29-9099.00,29-9021.00,"Healthcare Practitioners and Technical Workers, All Other",Health Information Technologists and Medical Registrars
438,29-9099,29-9099,29-9099.99,29-9099.99,"Healthcare Practitioners and Technical Workers, All Other","Healthcare Practitioners and Technical Workers, All Other",29-9099,29-9099.99,29-9099.00,"Healthcare Practitioners and Technical Workers, All Other","Healthcare Practitioners and Technical Workers, All Other",29-9099,29-9099.00 AND 29-9099.01,29-9099.00 AND 29-9099.01,"Healthcare Practitioners and Technical Workers, All Other AND Midwives","Healthcare Practitioners and Technical Workers, All Other AND Midwives",29-9093,29-9099.00,29-9093.00,"Healthcare Practitioners and Technical Workers, All Other",Surgical Assistants
439,29-9099,29-9099,29-9099.99,29-9099.99,"Healthcare Practitioners and Technical Workers, All Other","Healthcare Practitioners and Technical Workers, All Other",29-9099,29-9099.99,29-9099.00,"Healthcare Practitioners and Technical Workers, All Other","Healthcare Practitioners and Technical Workers, All Other",29-9099,29-9099.00 AND 29-9099.01,29-9099.00 AND 29-9099.01,"Healthcare Practitioners and Technical Workers, All Other AND Midwives","Healthcare Practitioners and Technical Workers, All Other AND Midwives",29-9099,29-9099.00 AND 29-9099.01,29-9099.00 AND 29-9099.01,"Healthcare Practitioners and Technical Workers, All Other AND Midwives","Healthcare Practitioners and Technical Workers, All Other AND Midwives"
440,31-1011,31-1011,31-1011.00,31-1011.00,Home Health Aides,Home Health Aides,31-1011,31-1011.00,31-1011.00,Home Health Aides,Home Health Aides,31-1011,31-1011.00,31-1011.00,Home Health Aides,Home Health Aides,31-1121,31-1011.00,31-1121.00,Home Health Aides,Home Health Aides
441,31-1012,31-1012,31-1012.00,31-1012.00,"Nursing Aides, Orderlies, and Attendants","Nursing Aides, Orderlies, and Attendants",31-1012,31-1012.00,31-1012.00,"Nursing Aides, Orderlies, and Attendants","Nursing Aides, Orderlies, and Attendants",31-1014,31-1012.00,31-1014.00,"Nursing Aides, Orderlies, and Attendants",Nursing Assistants,31-1131,31-1014.00,31-1131.00,Nursing Assistants,Nursing Assistants
442,31-1012,31-1012,31-1012.00,31-1012.00,"Nursing Aides, Orderlies, and Attendants","Nursing Aides, Orderlies, and Attendants",31-1012,31-1012.00,31-1012.00,"Nursing Aides, Orderlies, and Attendants","Nursing Aides, Orderlies, and Attendants",31-1015,31-1012.00,31-1015.00,"Nursing Aides, Orderlies, and Attendants",Orderlies,31-1132,31-1015.00,31-1132.00,Orderlies,Orderlies
443,31-1013,31-1013,31-1013.00,31-1013.00,Psychiatric Aides,Psychiatric Aides,31-1013,31-1013.00,31-1013.00,Psychiatric Aides,Psychiatric Aides,31-1013,31-1013.00,31-1013.00,Psychiatric Aides,Psychiatric Aides,31-1133,31-1013.00,31-1133.00,Psychiatric Aides,Psychiatric Aides
444,31-2011,31-2011,31-2011.00,31-2011.00,Occupational Therapist Assistants,Occupational Therapist Assistants,31-2011,31-2011.00,31-2011.00,Occupational Therapist Assistants,Occupational Therapist Assistants,31-2011,31-2011.00,31-2011.00,Occupational Therapist Assistants,Occupational Therapy Assistants,31-2011,31-2011.00,31-2011.00,Occupational Therapy Assistants,Occupational Therapy Assistants
445,31-2012,31-2012,31-2012.00,31-2012.00,Occupational Therapist Aides,Occupational Therapist Aides,31-2012,31-2012.00,31-2012.00,Occupational Therapist Aides,Occupational Therapist Aides,31-2012,31-2012.00,31-2012.00,Occupational Therapist Aides,Occupational Therapy Aides,31-2012,31-2012.00,31-2012.00,Occupational Therapy Aides,Occupational Therapy Aides
446,31-2021,31-2021,31-2021.00,31-2021.00,Physical Therapist Assistants,Physical Therapist Assistants,31-2021,31-2021.00,31-2021.00,Physical Therapist Assistants,Physical Therapist Assistants,31-2021,31-2021.00,31-2021.00,Physical Therapist Assistants,Physical Therapist Assistants,31-2021,31-2021.00,31-2021.00,Physical Therapist Assistants,Physical Therapist Assistants
447,31-2022,31-2022,31-2022.00,31-2022.00,Physical Therapist Aides,Physical Therapist Aides,31-2022,31-2022.00,31-2022.00,Physical Therapist Aides,Physical Therapist Aides,31-2022,31-2022.00,31-2022.00,Physical Therapist Aides,Physical Therapist Aides,31-2022,31-2022.00,31-2022.00,Physical Therapist Aides,Physical Therapist Aides
448,31-9011,31-9011,31-9011.00,31-9011.00,Massage Therapists,Massage Therapists,31-9011,31-9011.00,31-9011.00,Massage Therapists,Massage Therapists,31-9011,31-9011.00,31-9011.00,Massage Therapists,Massage Therapists,31-9011,31-9011.00,31-9011.00,Massage Therapists,Massage Therapists
449,31-9091,31-9091,31-9091.00,31-9091.00,Dental Assistants,Dental Assistants,31-9091,31-9091.00,31-9091.00,Dental Assistants,Dental Assistants,31-9091,31-9091.00,31-9091.00,Dental Assistants,Dental Assistants,31-9091,31-9091.00,31-9091.00,Dental Assistants,Dental Assistants
450,31-9092,31-9092,31-9092.00,31-9092.00,Medical Assistants,Medical Assistants,31-9092,31-9092.00,31-9092.00,Medical Assistants,Medical Assistants,31-9092,31-9092.00,31-9092.00,Medical Assistants,Medical Assistants,31-9092,31-9092.00,31-9092.00,Medical Assistants,Medical Assistants
451,31-9093,31-9093,31-9093.00,31-9093.00,Medical Equipment Preparers,Medical Equipment Preparers,31-9093,31-9093.00,31-9093.00,Medical Equipment Preparers,Medical Equipment Preparers,31-9093,31-9093.00,31-9093.00,Medical Equipment Preparers,Medical Equipment Preparers,31-9093,31-9093.00,31-9093.00,Medical Equipment Preparers,Medical Equipment Preparers
452,31-9093,31-9093,31-9093.00,31-9093.00,Medical Equipment Preparers,Medical Equipment Preparers,31-9093,31-9093.00,31-9093.00,Medical Equipment Preparers,Medical Equipment Preparers,31-9099,31-9093.01,31-9099.02,Endoscopy Technicians,Endoscopy Technicians,31-9099,31-9099.00 AND 31-9099.01 AND 31-9099.02,31-9099.00 AND 31-9099.01 AND 31-9099.02,"Healthcare Support Workers, All Other AND Speech-Language Pathology Assistants AND Endoscopy Technicians","Healthcare Support Workers, All Other AND Speech-Language Pathology Assistants AND Endoscopy Technicians"
453,31-9099,31-9099,31-9099.99,31-9099.99,"Healthcare Support Workers, All Other","Healthcare Support Workers, All Other",31-9099,31-9099.99,31-9099.00,"Healthcare Support Workers, All Other","Healthcare Support Workers, All Other",31-9099,31-9099.00 AND 31-9099.01,31-9099.00 AND 31-9099.01,"Healthcare Support Workers, All Other AND Speech-Language Pathology Assistants","Healthcare Support Workers, All Other AND Speech-Language Pathology Assistants",31-9099,31-9099.00 AND 31-9099.01 AND 31-9099.02,31-9099.00 AND 31-9099.01 AND 31-9099.02,"Healthcare Support Workers, All Other AND Speech-Language Pathology Assistants AND Endoscopy Technicians","Healthcare Support Workers, All Other AND Speech-Language Pathology Assistants AND Endoscopy Technicians"
454,31-9094,31-9094,31-9094.00,31-9094.00,Medical Transcriptionists,Medical Transcriptionists,31-9094,31-9094.00,31-9094.00,Medical Transcriptionists,Medical Transcriptionists,31-9094,31-9094.00,31-9094.00,Medical Transcriptionists,Medical Transcriptionists,31-9094,31-9094.00,31-9094.00,Medical Transcriptionists,Medical Transcriptionists
455,31-9095,31-9095,31-9095.00,31-9095.00,Pharmacy Aides,Pharmacy Aides,31-9095,31-9095.00,31-9095.00,Pharmacy Aides,Pharmacy Aides,31-9095,31-9095.00,31-9095.00,Pharmacy Aides,Pharmacy Aides,31-9095,31-9095.00,31-9095.00,Pharmacy Aides,Pharmacy Aides
456,31-9096,31-9096,31-9096.00,31-9096.00,Veterinary Assistants and Laboratory Animal Caretakers,Veterinary Assistants and Laboratory Animal Caretakers,31-9096,31-9096.00,31-9096.00,Veterinary Assistants and Laboratory Animal Caretakers,Veterinary Assistants and Laboratory Animal Caretakers,31-9096,31-9096.00,31-9096.00,Veterinary Assistants and Laboratory Animal Caretakers,Veterinary Assistants and Laboratory Animal Caretakers,31-9096,31-9096.00,31-9096.00,Veterinary Assistants and Laboratory Animal Caretakers,Veterinary Assistants and Laboratory Animal Caretakers
457,33-1011,33-1011,33-1011.00,33-1011.00,First-Line Supervisors/Managers of Correctional Officers,First-Line Supervisors/Managers of Correctional Officers,33-1011,33-1011.00,33-1011.00,First-Line Supervisors/Managers of Correctional Officers,First-Line Supervisors/Managers of Correctional Officers,33-1011,33-1011.00,33-1011.00,First-Line Supervisors/Managers of Correctional Officers,First-Line Supervisors of Correctional Officers,33-1011,33-1011.00,33-1011.00,First-Line Supervisors of Correctional Officers,First-Line Supervisors of Correctional Officers
458,33-1012,33-1012,33-1012.00,33-1012.00,First-Line Supervisors/Managers of Police and Detectives,First-Line Supervisors/Managers of Police and Detectives,33-1012,33-1012.00,33-1012.00,First-Line Supervisors/Managers of Police and Detectives,First-Line Supervisors/Managers of Police and Detectives,33-1012,33-1012.00,33-1012.00,First-Line Supervisors/Managers of Police and Detectives,First-Line Supervisors of Police and Detectives,33-1012,33-1012.00,33-1012.00,First-Line Supervisors of Police and Detectives,First-Line Supervisors of Police and Detectives
459,33-1021,33-1021,33-1021.00 AND 33-1021.01 AND 33-1021.02,33-1021.00 AND 33-1021.01 AND 33-1021.02,First-Line Supervisors/Managers of Fire Fighting and Prevention Workers AND Municipal Fire Fighting and Prevention Supervisors AND Forest Fire Fighting and Prevention Supervisors,First-Line Supervisors/Managers of Fire Fighting and Prevention Workers AND Municipal Fire Fighting and Prevention Supervisors AND Forest Fire Fighting and Prevention Supervisors,33-1021,33-1021.00 AND 33-1021.01 AND 33-1021.02,33-1021.00 AND 33-1021.01 AND 33-1021.02,First-Line Supervisors/Managers of Fire Fighting and Prevention Workers AND Municipal Fire Fighting and Prevention Supervisors AND Forest Fire Fighting and Prevention Supervisors,First-Line Supervisors/Managers of Fire Fighting and Prevention Workers AND Municipal Fire Fighting and Prevention Supervisors AND Forest Fire Fighting and Prevention Supervisors,33-1021,33-1021.00 AND 33-1021.01 AND 33-1021.02,33-1021.00 AND 33-1021.01 AND 33-1021.02,First-Line Supervisors/Managers of Fire Fighting and Prevention Workers AND Municipal Fire Fighting and Prevention Supervisors AND Forest Fire Fighting and Prevention Supervisors,First-Line Supervisors of Fire Fighting and Prevention Workers AND Municipal Fire Fighting and Prevention Supervisors AND Forest Fire Fighting and Prevention Supervisors,33-1021,33-1021.00 AND 33-1021.01 AND 33-1021.02,33-1021.00,First-Line Supervisors of Fire Fighting and Prevention Workers AND Municipal Fire Fighting and Prevention Supervisors AND Forest Fire Fighting and Prevention Supervisors,First-Line Supervisors of Firefighting and Prevention Workers
460,33-1099,33-1099,33-1099.99,33-1099.99,"First-Line Supervisors/Managers, Protective Service Workers, All Other","First-Line Supervisors/Managers, Protective Service Workers, All Other",33-1099,33-1099.99,33-1099.00,"First-Line Supervisors/Managers, Protective Service Workers, All Other","First-Line Supervisors/Managers, Protective Service Workers, All Other",33-1099,33-1099.00,33-1099.00,"First-Line Supervisors/Managers, Protective Service Workers, All Other","First-Line Supervisors of Protective Service Workers, All Other",33-1091,33-1099.00,33-1091.00,"First-Line Supervisors of Protective Service Workers, All Other",First-Line Supervisors of Security Workers
461,33-1099,33-1099,33-1099.99,33-1099.99,"First-Line Supervisors/Managers, Protective Service Workers, All Other","First-Line Supervisors/Managers, Protective Service Workers, All Other",33-1099,33-1099.99,33-1099.00,"First-Line Supervisors/Managers, Protective Service Workers, All Other","First-Line Supervisors/Managers, Protective Service Workers, All Other",33-1099,33-1099.00,33-1099.00,"First-Line Supervisors/Managers, Protective Service Workers, All Other","First-Line Supervisors of Protective Service Workers, All Other",33-1099,33-1099.00,33-1099.00,"First-Line Supervisors of Protective Service Workers, All Other","First-Line Supervisors of Protective Service Workers, All Other"
462,33-2011,33-2011,33-2011.00 AND 33-2011.01 AND 33-2011.02,33-2011.00 AND 33-2011.01 AND 33-2011.02,Fire Fighters AND Municipal Fire Fighters AND Forest Fire Fighters,Fire Fighters AND Municipal Fire Fighters AND Forest Fire Fighters,33-2011,33-2011.00 AND 33-2011.01 AND 33-2011.02,33-2011.00 AND 33-2011.01 AND 33-2011.02,Fire Fighters AND Municipal Fire Fighters AND Forest Fire Fighters,Fire Fighters AND Municipal Fire Fighters AND Forest Fire Fighters,33-2011,33-2011.00 AND 33-2011.01 AND 33-2011.02,33-2011.00 AND 33-2011.01 AND 33-2011.02,Fire Fighters AND Municipal Fire Fighters AND Forest Fire Fighters,Firefighters AND Municipal Firefighters AND Forest Firefighters,33-2011,33-2011.00 AND 33-2011.01 AND 33-2011.02,33-2011.00,Firefighters AND Municipal Firefighters AND Forest Firefighters,Firefighters
