,O*NET-SOC 2000 Code,O*NET-SOC 2000 Title,O*NET-SOC 2006 Code,O*NET-SOC 2006 Title_x,O*NET-SOC 2006 Title_y,O*NET-SOC 2009 Code,O*NET-SOC 2009 Title_x,O*NET-SOC 2009 Title_y,O*NET-SOC 2010 Code,O*NET-SOC 2010 Title
622,43-4171.00,Receptionists and Information Clerks,43-4171.00,Receptionists and Information Clerks,Receptionists and Information Clerks,43-4171.00,Receptionists and Information Clerks,Receptionists and Information Clerks,43-4171.00,Receptionists and Information Clerks
623,43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks,43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks,Reservation and Transportation Ticket Agents and Travel Clerks,43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks,Reservation and Transportation Ticket Agents and Travel Clerks,43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks
624,43-4181.01,Travel Clerks,43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks,Reservation and Transportation Ticket Agents and Travel Clerks,43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks,Reservation and Transportation Ticket Agents and Travel Clerks,43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks
625,43-4181.02,Reservation and Transportation Ticket Agents,43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks,Reservation and Transportation Ticket Agents and Travel Clerks,43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks,Reservation and Transportation Ticket Agents and Travel Clerks,43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks
626,43-4199.99,"Information and Record Clerks, All Other",43-4199.99,"Information and Record Clerks, All Other","Information and Record Clerks, All Other",43-4199.00,"Information and Record Clerks, All Other","Information and Record Clerks, All Other",43-4199.00,"Information and Record Clerks, All Other"
627,43-5011.00,Cargo and Freight Agents,43-5011.00,Cargo and Freight Agents,Cargo and Freight Agents,43-5011.00,Cargo and Freight Agents,Cargo and Freight Agents,43-5011.00,Cargo and Freight Agents
628,43-5021.00,Couriers and Messengers,43-5021.00,Couriers and Messengers,Couriers and Messengers,43-5021.00,Couriers and Messengers,Couriers and Messengers,43-5021.00,Couriers and Messengers
629,43-5031.00,"Police, Fire, and Ambulance Dispatchers",43-5031.00,"Police, Fire, and Ambulance Dispatchers","Police, Fire, and Ambulance Dispatchers",43-5031.00,"Police, Fire, and Ambulance Dispatchers","Police, Fire, and Ambulance Dispatchers",43-5031.00,"Police, Fire, and Ambulance Dispatchers"
630,43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance",43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance","Dispatchers, Except Police, Fire, and Ambulance",43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance","Dispatchers, Except Police, Fire, and Ambulance",43-5032.00,"Dispatchers, Except Police, Fire, and Ambulance"
631,43-5041.00,"Meter Readers, Utilities",43-5041.00,"Meter Readers, Utilities","Meter Readers, Utilities",43-5041.00,"Meter Readers, Utilities","Meter Readers, Utilities",43-5041.00,"Meter Readers, Utilities"
632,43-5051.00,Postal Service Clerks,43-5051.00,Postal Service Clerks,Postal Service Clerks,43-5051.00,Postal Service Clerks,Postal Service Clerks,43-5051.00,Postal Service Clerks
633,43-5052.00,Postal Service Mail Carriers,43-5052.00,Postal Service Mail Carriers,Postal Service Mail Carriers,43-5052.00,Postal Service Mail Carriers,Postal Service Mail Carriers,43-5052.00,Postal Service Mail Carriers
634,43-5053.00,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",43-5053.00,"Postal Service Mail Sorters, Processors, and Processing Machine Operators","Postal Service Mail Sorters, Processors, and Processing Machine Operators",43-5053.00,"Postal Service Mail Sorters, Processors, and Processing Machine Operators","Postal Service Mail Sorters, Processors, and Processing Machine Operators",43-5053.00,"Postal Service Mail Sorters, Processors, and Processing Machine Operators"
635,43-5061.00,"Production, Planning, and Expediting Clerks",43-5061.00,"Production, Planning, and Expediting Clerks","Production, Planning, and Expediting Clerks",43-5061.00,"Production, Planning, and Expediting Clerks","Production, Planning, and Expediting Clerks",43-5061.00,"Production, Planning, and Expediting Clerks"
636,43-5071.00,"Shipping, Receiving, and Traffic Clerks",43-5071.00,"Shipping, Receiving, and Traffic Clerks","Shipping, Receiving, and Traffic Clerks",43-5071.00,"Shipping, Receiving, and Traffic Clerks","Shipping, Receiving, and Traffic Clerks",43-5071.00,"Shipping, Receiving, and Traffic Clerks"
637,43-5081.00,Stock Clerks and Order Fillers,43-5081.00,Stock Clerks and Order Fillers,Stock Clerks and Order Fillers,43-5081.00,Stock Clerks and Order Fillers,Stock Clerks and Order Fillers,43-5081.00,Stock Clerks and Order Fillers
638,43-5081.01,"Stock Clerks, Sales Floor",43-5081.01,"Stock Clerks, Sales Floor","Stock Clerks, Sales Floor",43-5081.01,"Stock Clerks, Sales Floor","Stock Clerks, Sales Floor",43-5081.01,"Stock Clerks, Sales Floor"
639,43-5081.02,Marking Clerks,43-5081.02,Marking Clerks,Marking Clerks,43-5081.02,Marking Clerks,Marking Clerks,43-5081.02,Marking Clerks
640,43-5081.03,"Stock Clerks- Stockroom, Warehouse, or Storage Yard",43-5081.03,"Stock Clerks- Stockroom, Warehouse, or Storage Yard","Stock Clerks- Stockroom, Warehouse, or Storage Yard",43-5081.03,"Stock Clerks- Stockroom, Warehouse, or Storage Yard","Stock Clerks- Stockroom, Warehouse, or Storage Yard",43-5081.03,"Stock Clerks- Stockroom, Warehouse, or Storage Yard"
641,43-5081.04,"Order Fillers, Wholesale and Retail Sales",43-5081.04,"Order Fillers, Wholesale and Retail Sales","Order Fillers, Wholesale and Retail Sales",43-5081.04,"Order Fillers, Wholesale and Retail Sales","Order Fillers, Wholesale and Retail Sales",43-5081.04,"Order Fillers, Wholesale and Retail Sales"
642,43-5111.00,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",43-5111.00,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping","Weighers, Measurers, Checkers, and Samplers, Recordkeeping",43-5111.00,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping","Weighers, Measurers, Checkers, and Samplers, Recordkeeping",43-5111.00,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping"
643,43-6011.00,Executive Secretaries and Administrative Assistants,43-6011.00,Executive Secretaries and Administrative Assistants,Executive Secretaries and Administrative Assistants,43-6011.00,Executive Secretaries and Administrative Assistants,Executive Secretaries and Administrative Assistants,43-6011.00,Executive Secretaries and Executive Administrative Assistants
644,43-6012.00,Legal Secretaries,43-6012.00,Legal Secretaries,Legal Secretaries,43-6012.00,Legal Secretaries,Legal Secretaries,43-6012.00,Legal Secretaries
645,43-6013.00,Medical Secretaries,43-6013.00,Medical Secretaries,Medical Secretaries,43-6013.00,Medical Secretaries,Medical Secretaries,43-6013.00,Medical Secretaries
646,43-6014.00,"Secretaries, Except Legal, Medical, and Executive",43-6014.00,"Secretaries, Except Legal, Medical, and Executive","Secretaries, Except Legal, Medical, and Executive",43-6014.00,"Secretaries, Except Legal, Medical, and Executive","Secretaries, Except Legal, Medical, and Executive",43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive"
647,43-9011.00,Computer Operators,43-9011.00,Computer Operators,Computer Operators,43-9011.00,Computer Operators,Computer Operators,43-9011.00,Computer Operators
648,43-9021.00,Data Entry Keyers,43-9021.00,Data Entry Keyers,Data Entry Keyers,43-9021.00,Data Entry Keyers,Data Entry Keyers,43-9021.00,Data Entry Keyers
649,43-9022.00,Word Processors and Typists,43-9022.00,Word Processors and Typists,Word Processors and Typists,43-9022.00,Word Processors and Typists,Word Processors and Typists,43-9022.00,Word Processors and Typists
650,43-9031.00,Desktop Publishers,43-9031.00,Desktop Publishers,Desktop Publishers,43-9031.00,Desktop Publishers,Desktop Publishers,43-9031.00,Desktop Publishers
651,43-9041.00,Insurance Claims and Policy Processing Clerks,43-9041.00,Insurance Claims and Policy Processing Clerks,Insurance Claims and Policy Processing Clerks,43-9041.00,Insurance Claims and Policy Processing Clerks,Insurance Claims and Policy Processing Clerks,43-9041.00,Insurance Claims and Policy Processing Clerks
652,43-9041.01,Insurance Claims Clerks,43-9041.01,Insurance Claims Clerks,Insurance Claims Clerks,43-9041.01,Insurance Claims Clerks,Insurance Claims Clerks,43-9041.01,Insurance Claims Clerks
653,43-9041.02,Insurance Policy Processing Clerks,43-9041.02,Insurance Policy Processing Clerks,Insurance Policy Processing Clerks,43-9041.02,Insurance Policy Processing Clerks,Insurance Policy Processing Clerks,43-9041.02,Insurance Policy Processing Clerks
654,43-9051.00,"Mail Clerks and Mail Machine Operators, Except Postal Service",43-9051.00,"Mail Clerks and Mail Machine Operators, Except Postal Service","Mail Clerks and Mail Machine Operators, Except Postal Service",43-9051.00,"Mail Clerks and Mail Machine Operators, Except Postal Service","Mail Clerks and Mail Machine Operators, Except Postal Service",43-9051.00,"Mail Clerks and Mail Machine Operators, Except Postal Service"
655,43-9051.01,"Mail Machine Operators, Preparation and Handling",43-9051.00,"Mail Clerks and Mail Machine Operators, Except Postal Service","Mail Clerks and Mail Machine Operators, Except Postal Service",43-9051.00,"Mail Clerks and Mail Machine Operators, Except Postal Service","Mail Clerks and Mail Machine Operators, Except Postal Service",43-9051.00,"Mail Clerks and Mail Machine Operators, Except Postal Service"
656,43-9051.02,"Mail Clerks, Except Mail Machine Operators and Postal Service",43-9051.00,"Mail Clerks and Mail Machine Operators, Except Postal Service","Mail Clerks and Mail Machine Operators, Except Postal Service",43-9051.00,"Mail Clerks and Mail Machine Operators, Except Postal Service","Mail Clerks and Mail Machine Operators, Except Postal Service",43-9051.00,"Mail Clerks and Mail Machine Operators, Except Postal Service"
657,43-9061.00,"Office Clerks, General",43-9061.00,"Office Clerks, General","Office Clerks, General",43-9061.00,"Office Clerks, General","Office Clerks, General",43-9061.00,"Office Clerks, General"
658,43-9071.00,"Office Machine Operators, Except Computer",43-9071.00,"Office Machine Operators, Except Computer","Office Machine Operators, Except Computer",43-9071.00,"Office Machine Operators, Except Computer","Office Machine Operators, Except Computer",43-9071.00,"Office Machine Operators, Except Computer"
659,43-9071.01,Duplicating Machine Operators,43-9071.00,"Office Machine Operators, Except Computer","Office Machine Operators, Except Computer",43-9071.00,"Office Machine Operators, Except Computer","Office Machine Operators, Except Computer",43-9071.00,"Office Machine Operators, Except Computer"
660,43-9081.00,Proofreaders and Copy Markers,43-9081.00,Proofreaders and Copy Markers,Proofreaders and Copy Markers,43-9081.00,Proofreaders and Copy Markers,Proofreaders and Copy Markers,43-9081.00,Proofreaders and Copy Markers
661,43-9111.00,Statistical Assistants,43-9111.00,Statistical Assistants,Statistical Assistants,43-9111.00,Statistical Assistants,Statistical Assistants,43-9111.00,Statistical Assistants
662,43-9199.99,"Office and Administrative Support Workers, All Other",43-9199.99,"Office and Administrative Support Workers, All Other","Office and Administrative Support Workers, All Other",43-9199.00,"Office and Administrative Support Workers, All Other","Office and Administrative Support Workers, All Other",43-9199.00,"Office and Administrative Support Workers, All Other"
663,45-1011.00,"First-Line Supervisors/Managers of Farming, Fishing, and Forestry Workers",45-1011.00,"First-Line Supervisors/Managers of Farming, Fishing, and Forestry Workers","First-Line Supervisors/Managers of Farming, Fishing, and Forestry Workers",45-1011.00,"First-Line Supervisors/Managers of Farming, Fishing, and Forestry Workers","First-Line Supervisors/Managers of Farming, Fishing, and Forestry Workers",45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
664,45-1011.01,First-Line Supervisors and Manager/Supervisors - Agricultural Crop Workers,45-1011.07,First-Line Supervisors/Managers of Agricultural Crop and Horticultural Workers,First-Line Supervisors/Managers of Agricultural Crop and Horticultural Workers,45-1011.07,First-Line Supervisors/Managers of Agricultural Crop and Horticultural Workers,First-Line Supervisors/Managers of Agricultural Crop and Horticultural Workers,45-1011.07,First-Line Supervisors of Agricultural Crop and Horticultural Workers
665,45-1011.04,First-Line Supervisors and Manager/Supervisors - Horticultural Workers,45-1011.07,First-Line Supervisors/Managers of Agricultural Crop and Horticultural Workers,First-Line Supervisors/Managers of Agricultural Crop and Horticultural Workers,45-1011.07,First-Line Supervisors/Managers of Agricultural Crop and Horticultural Workers,First-Line Supervisors/Managers of Agricultural Crop and Horticultural Workers,45-1011.07,First-Line Supervisors of Agricultural Crop and Horticultural Workers
666,45-1011.02,First-Line Supervisors and Manager/Supervisors - Animal Husbandry Workers,45-1011.08,First-Line Supervisors/Managers of Animal Husbandry and Animal Care Workers,First-Line Supervisors/Managers of Animal Husbandry and Animal Care Workers,45-1011.08,First-Line Supervisors/Managers of Animal Husbandry and Animal Care Workers,First-Line Supervisors/Managers of Animal Husbandry and Animal Care Workers,45-1011.08,First-Line Supervisors of Animal Husbandry and Animal Care Workers
667,45-1011.03,"First-Line Supervisors and Manager/Supervisors - Animal Care Workers, Except Livestock",45-1011.08,First-Line Supervisors/Managers of Animal Husbandry and Animal Care Workers,First-Line Supervisors/Managers of Animal Husbandry and Animal Care Workers,45-1011.08,First-Line Supervisors/Managers of Animal Husbandry and Animal Care Workers,First-Line Supervisors/Managers of Animal Husbandry and Animal Care Workers,45-1011.08,First-Line Supervisors of Animal Husbandry and Animal Care Workers
668,45-1011.05,First-Line Supervisors and Manager/Supervisors - Logging Workers,45-1011.05,First-Line Supervisors/Managers of Logging Workers,First-Line Supervisors/Managers of Logging Workers,45-1011.05,First-Line Supervisors/Managers of Logging Workers,First-Line Supervisors/Managers of Logging Workers,45-1011.05,First-Line Supervisors of Logging Workers
669,45-1011.06,First-Line Supervisors and Manager/Supervisors - Fishery Workers,45-1011.06,First-Line Supervisors/Managers of Aquacultural Workers,First-Line Supervisors/Managers of Aquacultural Workers,45-1011.06,First-Line Supervisors/Managers of Aquacultural Workers,First-Line Supervisors/Managers of Aquacultural Workers,45-1011.06,First-Line Supervisors of Aquacultural Workers
670,45-1012.00,Farm Labor Contractors,45-1012.00,Farm Labor Contractors,Farm Labor Contractors,45-1012.00,Farm Labor Contractors,Farm Labor Contractors,13-1074.00,Farm Labor Contractors
671,45-2011.00,Agricultural Inspectors,45-2011.00,Agricultural Inspectors,Agricultural Inspectors,45-2011.00,Agricultural Inspectors,Agricultural Inspectors,45-2011.00,Agricultural Inspectors
672,45-2021.00,Animal Breeders,45-2021.00,Animal Breeders,Animal Breeders,45-2021.00,Animal Breeders,Animal Breeders,45-2021.00,Animal Breeders
673,45-2041.00,"Graders and Sorters, Agricultural Products",45-2041.00,"Graders and Sorters, Agricultural Products","Graders and Sorters, Agricultural Products",45-2041.00,"Graders and Sorters, Agricultural Products","Graders and Sorters, Agricultural Products",45-2041.00,"Graders and Sorters, Agricultural Products"
674,45-2091.00,Agricultural Equipment Operators,45-2091.00,Agricultural Equipment Operators,Agricultural Equipment Operators,45-2091.00,Agricultural Equipment Operators,Agricultural Equipment Operators,45-2091.00,Agricultural Equipment Operators
675,45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse","Farmworkers and Laborers, Crop, Nursery, and Greenhouse",45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse","Farmworkers and Laborers, Crop, Nursery, and Greenhouse",45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse"
676,45-2092.01,Nursery Workers,45-2092.01,Nursery Workers,Nursery Workers,45-2092.01,Nursery Workers,Nursery Workers,45-2092.01,Nursery Workers
677,45-2092.02,General Farmworkers,45-2092.02,"Farmworkers and Laborers, Crop","Farmworkers and Laborers, Crop",45-2092.02,"Farmworkers and Laborers, Crop","Farmworkers and Laborers, Crop",45-2092.02,"Farmworkers and Laborers, Crop"
678,45-2093.00,"Farmworkers, Farm and Ranch Animals",45-2093.00,"Farmworkers, Farm and Ranch Animals","Farmworkers, Farm and Ranch Animals",45-2093.00,"Farmworkers, Farm and Ranch Animals","Farmworkers, Farm and Ranch Animals",45-2093.00,"Farmworkers, Farm, Ranch, and Aquacultural Animals"
679,45-2099.99,"Agricultural Workers, All Other",45-2099.99,"Agricultural Workers, All Other","Agricultural Workers, All Other",45-2099.00,"Agricultural Workers, All Other","Agricultural Workers, All Other",45-2099.00,"Agricultural Workers, All Other"
680,45-3011.00,Fishers and Related Fishing Workers,45-3011.00,Fishers and Related Fishing Workers,Fishers and Related Fishing Workers,45-3011.00,Fishers and Related Fishing Workers,Fishers and Related Fishing Workers,45-3011.00,Fishers and Related Fishing Workers
681,45-3021.00,Hunters and Trappers,45-3021.00,Hunters and Trappers,Hunters and Trappers,45-3021.00,Hunters and Trappers,Hunters and Trappers,45-3021.00,Hunters and Trappers
682,45-4011.00,Forest and Conservation Workers,45-4011.00,Forest and Conservation Workers,Forest and Conservation Workers,45-4011.00,Forest and Conservation Workers,Forest and Conservation Workers,45-4011.00,Forest and Conservation Workers
683,45-4021.00,Fallers,45-4021.00,Fallers,Fallers,45-4021.00,Fallers,Fallers,45-4021.00,Fallers
684,45-4022.00,Logging Equipment Operators,45-4022.00,Logging Equipment Operators,Logging Equipment Operators,45-4022.00,Logging Equipment Operators,Logging Equipment Operators,45-4022.00,Logging Equipment Operators
685,45-4022.01,Logging Tractor Operators,45-4022.00,Logging Equipment Operators,Logging Equipment Operators,45-4022.00,Logging Equipment Operators,Logging Equipment Operators,45-4022.00,Logging Equipment Operators
686,45-4023.00,Log Graders and Scalers,45-4023.00,Log Graders and Scalers,Log Graders and Scalers,45-4023.00,Log Graders and Scalers,Log Graders and Scalers,45-4023.00,Log Graders and Scalers
687,45-4029.99,"Logging Workers, All Other",45-4029.99,"Logging Workers, All Other","Logging Workers, All Other",45-4029.00,"Logging Workers, All Other","Logging Workers, All Other",45-4029.00,"Logging Workers, All Other"
688,47-1011.00,First-Line Supervisors/Managers of Construction Trades and Extraction Workers,47-1011.00,First-Line Supervisors/Managers of Construction Trades and Extraction Workers,First-Line Supervisors/Managers of Construction Trades and Extraction Workers,47-1011.00,First-Line Supervisors/Managers of Construction Trades and Extraction Workers,First-Line Supervisors/Managers of Construction Trades and Extraction Workers,47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers
689,47-1011.01,First-Line Supervisors and Manager/Supervisors- Construction Trades Workers,47-1011.00,First-Line Supervisors/Managers of Construction Trades and Extraction Workers,First-Line Supervisors/Managers of Construction Trades and Extraction Workers,47-1011.00,First-Line Supervisors/Managers of Construction Trades and Extraction Workers,First-Line Supervisors/Managers of Construction Trades and Extraction Workers,47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers
690,47-1011.02,First-Line Supervisors and Manager/Supervisors- Extractive Workers,47-1011.00,First-Line Supervisors/Managers of Construction Trades and Extraction Workers,First-Line Supervisors/Managers of Construction Trades and Extraction Workers,47-1011.00,First-Line Supervisors/Managers of Construction Trades and Extraction Workers,First-Line Supervisors/Managers of Construction Trades and Extraction Workers,47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers
691,47-2011.00,Boilermakers,47-2011.00,Boilermakers,Boilermakers,47-2011.00,Boilermakers,Boilermakers,47-2011.00,Boilermakers
692,47-2021.00,Brickmasons and Blockmasons,47-2021.00,Brickmasons and Blockmasons,Brickmasons and Blockmasons,47-2021.00,Brickmasons and Blockmasons,Brickmasons and Blockmasons,47-2021.00,Brickmasons and Blockmasons
693,47-2022.00,Stonemasons,47-2022.00,Stonemasons,Stonemasons,47-2022.00,Stonemasons,Stonemasons,47-2022.00,Stonemasons
694,47-2031.00,Carpenters,47-2031.00,Carpenters,Carpenters,47-2031.00,Carpenters,Carpenters,47-2031.00,Carpenters
695,47-2031.01,Construction Carpenters,47-2031.01,Construction Carpenters,Construction Carpenters,47-2031.01,Construction Carpenters,Construction Carpenters,47-2031.01,Construction Carpenters
696,47-2031.03,Carpenter Assemblers and Repairers,47-2031.01,Construction Carpenters,Construction Carpenters,47-2031.01,Construction Carpenters,Construction Carpenters,47-2031.01,Construction Carpenters
697,47-2031.04,Ship Carpenters and Joiners,47-2031.01,Construction Carpenters,Construction Carpenters,47-2031.01,Construction Carpenters,Construction Carpenters,47-2031.01,Construction Carpenters
698,47-2031.05,Boat Builders and Shipwrights,47-2031.01,Construction Carpenters,Construction Carpenters,47-2031.01,Construction Carpenters,Construction Carpenters,47-2031.01,Construction Carpenters
699,47-2031.02,Rough Carpenters,47-2031.02,Rough Carpenters,Rough Carpenters,47-2031.02,Rough Carpenters,Rough Carpenters,47-2031.02,Rough Carpenters
700,47-2031.06,Brattice Builders,47-2031.02,Rough Carpenters,Rough Carpenters,47-2031.02,Rough Carpenters,Rough Carpenters,47-2031.02,Rough Carpenters
701,47-2041.00,Carpet Installers,47-2041.00,Carpet Installers,Carpet Installers,47-2041.00,Carpet Installers,Carpet Installers,47-2041.00,Carpet Installers
702,47-2042.00,"Floor Layers, Except Carpet, Wood, and Hard Tiles",47-2042.00,"Floor Layers, Except Carpet, Wood, and Hard Tiles","Floor Layers, Except Carpet, Wood, and Hard Tiles",47-2042.00,"Floor Layers, Except Carpet, Wood, and Hard Tiles","Floor Layers, Except Carpet, Wood, and Hard Tiles",47-2042.00,"Floor Layers, Except Carpet, Wood, and Hard Tiles"
703,47-2043.00,Floor Sanders and Finishers,47-2043.00,Floor Sanders and Finishers,Floor Sanders and Finishers,47-2043.00,Floor Sanders and Finishers,Floor Sanders and Finishers,47-2043.00,Floor Sanders and Finishers
704,47-2044.00,Tile and Marble Setters,47-2044.00,Tile and Marble Setters,Tile and Marble Setters,47-2044.00,Tile and Marble Setters,Tile and Marble Setters,47-2044.00,Tile and Marble Setters
705,47-2051.00,Cement Masons and Concrete Finishers,47-2051.00,Cement Masons and Concrete Finishers,Cement Masons and Concrete Finishers,47-2051.00,Cement Masons and Concrete Finishers,Cement Masons and Concrete Finishers,47-2051.00,Cement Masons and Concrete Finishers
706,47-2053.00,Terrazzo Workers and Finishers,47-2053.00,Terrazzo Workers and Finishers,Terrazzo Workers and Finishers,47-2053.00,Terrazzo Workers and Finishers,Terrazzo Workers and Finishers,47-2053.00,Terrazzo Workers and Finishers
707,47-2061.00,Construction Laborers,47-2061.00,Construction Laborers,Construction Laborers,47-2061.00,Construction Laborers,Construction Laborers,47-2061.00,Construction Laborers
708,47-2071.00,"Paving, Surfacing, and Tamping Equipment Operators",47-2071.00,"Paving, Surfacing, and Tamping Equipment Operators","Paving, Surfacing, and Tamping Equipment Operators",47-2071.00,"Paving, Surfacing, and Tamping Equipment Operators","Paving, Surfacing, and Tamping Equipment Operators",47-2071.00,"Paving, Surfacing, and Tamping Equipment Operators"
709,47-2072.00,Pile-Driver Operators,47-2072.00,Pile-Driver Operators,Pile-Driver Operators,47-2072.00,Pile-Driver Operators,Pile-Driver Operators,47-2072.00,Pile-Driver Operators
710,47-2073.00,Operating Engineers and Other Construction Equipment Operators,47-2073.00,Operating Engineers and Other Construction Equipment Operators,Operating Engineers and Other Construction Equipment Operators,47-2073.00,Operating Engineers and Other Construction Equipment Operators,Operating Engineers and Other Construction Equipment Operators,47-2073.00,Operating Engineers and Other Construction Equipment Operators
711,47-2073.01,"Grader, Bulldozer, and Scraper Operators",47-2073.00,Operating Engineers and Other Construction Equipment Operators,Operating Engineers and Other Construction Equipment Operators,47-2073.00,Operating Engineers and Other Construction Equipment Operators,Operating Engineers and Other Construction Equipment Operators,47-2073.00,Operating Engineers and Other Construction Equipment Operators
712,47-2073.02,Operating Engineers,47-2073.00,Operating Engineers and Other Construction Equipment Operators,Operating Engineers and Other Construction Equipment Operators,47-2073.00,Operating Engineers and Other Construction Equipment Operators,Operating Engineers and Other Construction Equipment Operators,47-2073.00,Operating Engineers and Other Construction Equipment Operators
713,47-2081.00,Drywall and Ceiling Tile Installers,47-2081.00,Drywall and Ceiling Tile Installers,Drywall and Ceiling Tile Installers,47-2081.00,Drywall and Ceiling Tile Installers,Drywall and Ceiling Tile Installers,47-2081.00,Drywall and Ceiling Tile Installers
714,47-2081.01,Ceiling Tile Installers,47-2081.00,Drywall and Ceiling Tile Installers,Drywall and Ceiling Tile Installers,47-2081.00,Drywall and Ceiling Tile Installers,Drywall and Ceiling Tile Installers,47-2081.00,Drywall and Ceiling Tile Installers
715,47-2081.02,Drywall Installers,47-2081.00,Drywall and Ceiling Tile Installers,Drywall and Ceiling Tile Installers,47-2081.00,Drywall and Ceiling Tile Installers,Drywall and Ceiling Tile Installers,47-2081.00,Drywall and Ceiling Tile Installers
716,47-2082.00,Tapers,47-2082.00,Tapers,Tapers,47-2082.00,Tapers,Tapers,47-2082.00,Tapers
717,47-2111.00,Electricians,47-2111.00,Electricians,Electricians,47-2111.00,Electricians,Electricians,47-2111.00,Electricians
718,47-2121.00,Glaziers,47-2121.00,Glaziers,Glaziers,47-2121.00,Glaziers,Glaziers,47-2121.00,Glaziers
719,47-2131.00,"Insulation Workers, Floor, Ceiling, and Wall",47-2131.00,"Insulation Workers, Floor, Ceiling, and Wall","Insulation Workers, Floor, Ceiling, and Wall",47-2131.00,"Insulation Workers, Floor, Ceiling, and Wall","Insulation Workers, Floor, Ceiling, and Wall",47-2131.00,"Insulation Workers, Floor, Ceiling, and Wall"
720,47-2132.00,"Insulation Workers, Mechanical",47-2132.00,"Insulation Workers, Mechanical","Insulation Workers, Mechanical",47-2132.00,"Insulation Workers, Mechanical","Insulation Workers, Mechanical",47-2132.00,"Insulation Workers, Mechanical"
721,47-2141.00,"Painters, Construction and Maintenance",47-2141.00,"Painters, Construction and Maintenance","Painters, Construction and Maintenance",47-2141.00,"Painters, Construction and Maintenance","Painters, Construction and Maintenance",47-2141.00,"Painters, Construction and Maintenance"
722,47-2142.00,Paperhangers,47-2142.00,Paperhangers,Paperhangers,47-2142.00,Paperhangers,Paperhangers,47-2142.00,Paperhangers
723,47-2151.00,Pipelayers,47-2151.00,Pipelayers,Pipelayers,47-2151.00,Pipelayers,Pipelayers,47-2151.00,Pipelayers
724,47-2152.03,Pipelaying Fitters,47-2151.00,Pipelayers,Pipelayers,47-2151.00,Pipelayers,Pipelayers,47-2151.00,Pipelayers
725,47-2152.00,"Plumbers, Pipefitters, and Steamfitters",47-2152.00,"Plumbers, Pipefitters, and Steamfitters","Plumbers, Pipefitters, and Steamfitters",47-2152.00,"Plumbers, Pipefitters, and Steamfitters","Plumbers, Pipefitters, and Steamfitters",47-2152.00,"Plumbers, Pipefitters, and Steamfitters"
726,47-2152.01,Pipe Fitters,47-2152.01,Pipe Fitters and Steamfitters,Pipe Fitters and Steamfitters,47-2152.01,Pipe Fitters and Steamfitters,Pipe Fitters and Steamfitters,47-2152.01,Pipe Fitters and Steamfitters
727,47-2152.02,Plumbers,47-2152.02,Plumbers,Plumbers,47-2152.02,Plumbers,Plumbers,47-2152.02,Plumbers
728,47-2161.00,Plasterers and Stucco Masons,47-2161.00,Plasterers and Stucco Masons,Plasterers and Stucco Masons,47-2161.00,Plasterers and Stucco Masons,Plasterers and Stucco Masons,47-2161.00,Plasterers and Stucco Masons
729,47-2171.00,Reinforcing Iron and Rebar Workers,47-2171.00,Reinforcing Iron and Rebar Workers,Reinforcing Iron and Rebar Workers,47-2171.00,Reinforcing Iron and Rebar Workers,Reinforcing Iron and Rebar Workers,47-2171.00,Reinforcing Iron and Rebar Workers
730,47-2181.00,Roofers,47-2181.00,Roofers,Roofers,47-2181.00,Roofers,Roofers,47-2181.00,Roofers
731,47-2211.00,Sheet Metal Workers,47-2211.00,Sheet Metal Workers,Sheet Metal Workers,47-2211.00,Sheet Metal Workers,Sheet Metal Workers,47-2211.00,Sheet Metal Workers
732,47-2221.00,Structural Iron and Steel Workers,47-2221.00,Structural Iron and Steel Workers,Structural Iron and Steel Workers,47-2221.00,Structural Iron and Steel Workers,Structural Iron and Steel Workers,47-2221.00,Structural Iron and Steel Workers
