onetsoc_code_8dig,onetsoc_title,onetsoc_desc,year,onetsoc_code,socAB
41-2021.00,Counter and Rental Clerks,"Receive orders, generally in person, for repairs, rentals, and services. May describe available options, compute cost, and accept payment.",2019,41-2021,396
41-2022.00,Parts Salespersons,Sell spare and replacement parts and equipment in repair shop or parts store.,2000,41-2022,397
41-2022.00,Parts Salespersons,Sell spare and replacement parts and equipment in repair shop or parts store.,2006,41-2022,397
41-2022.00,Parts Salespersons,Sell spare and replacement parts and equipment in repair shop or parts store.,2009,41-2022,397
41-2022.00,Parts Salespersons,Sell spare and replacement parts and equipment in repair shop or parts store.,2010,41-2022,397
41-2022.00,Parts Salespersons,Sell spare and replacement parts and equipment in repair shop or parts store.,2019,41-2022,397
41-2031.00,Retail Salespersons,"Sell merchandise, such as furniture, motor vehicles, appliances, or apparel in a retail establishment.",2000,41-2031,398
41-2031.00,Retail Salespersons,"Sell merchandise, such as furniture, motor vehicles, appliances, or apparel in a retail establishment.",2006,41-2031,398
41-2031.00,Retail Salespersons,"Sell merchandise, such as furniture, motor vehicles, appliances, or apparel in a retail establishment.",2009,41-2031,398
41-2031.00,Retail Salespersons,"Sell merchandise, such as furniture, motor vehicles, appliances, or apparel to consumers.",2010,41-2031,398
41-2031.00,Retail Salespersons,"Sell merchandise, such as furniture, motor vehicles, appliances, or apparel to consumers.",2019,41-2031,398
41-3011.00,Advertising Sales Agents,"Sell or solicit advertising, including graphic art, advertising space in publications, custom made signs, or TV and radio advertising time. May obtain leases for outdoor advertising sites or persuade retailer to use sales promotion display items.",2000,41-3011,399
41-3011.00,Advertising Sales Agents,"Sell or solicit advertising, including graphic art, advertising space in publications, custom made signs, or TV and radio advertising time. May obtain leases for outdoor advertising sites or persuade retailer to use sales promotion display items.",2006,41-3011,399
41-3011.00,Advertising Sales Agents,"Sell or solicit advertising, including graphic art, advertising space in publications, custom made signs, or TV and radio advertising time. May obtain leases for outdoor advertising sites or persuade retailer to use sales promotion display items.",2009,41-3011,399
41-3011.00,Advertising Sales Agents,"Sell or solicit advertising space, time, or media in publications, signage, TV, radio, or the Internet. Includes individuals who obtain leases for outdoor advertising sites or persuade retailers to use sales promotion display items.",2010,41-3011,399
41-3011.00,Advertising Sales Agents,"Sell or solicit advertising space, time, or media in publications, signage, TV, radio, or Internet establishments or public spaces.",2019,41-3011,399
41-3021.00,Insurance Sales Agents,"Sell life, property, casualty, health, automotive, or other types of insurance. May refer clients to independent brokers, work as independent broker, or be employed by an insurance company.",2000,41-3021,400
41-3021.00,Insurance Sales Agents,"Sell life, property, casualty, health, automotive, or other types of insurance. May refer clients to independent brokers, work as independent broker, or be employed by an insurance company.",2006,41-3021,400
41-3021.00,Insurance Sales Agents,"Sell life, property, casualty, health, automotive, or other types of insurance. May refer clients to independent brokers, work as independent broker, or be employed by an insurance company.",2009,41-3021,400
41-3021.00,Insurance Sales Agents,"Sell life, property, casualty, health, automotive, or other types of insurance. May refer clients to independent brokers, work as an independent broker, or be employed by an insurance company.",2010,41-3021,400
41-3021.00,Insurance Sales Agents,"Sell life, property, casualty, health, automotive, or other types of insurance. May refer clients to independent brokers, work as an independent broker, or be employed by an insurance company.",2019,41-3021,400
41-3031.00,"Securities, Commodities, and Financial Services Sales Agents","Buy and sell securities in investment and trading firms, or call upon businesses and individuals to sell financial services. Provide financial services, such as loan, tax, and securities counseling. May advise securities customers about such things as stocks, bonds, and market conditions.",2000,41-3031,401
41-3031.00,"Securities, Commodities, and Financial Services Sales Agents","Buy and sell securities in investment and trading firms, or call upon businesses and individuals to sell financial services. Provide financial services, such as loan, tax, and securities counseling. May advise securities customers about such things as stocks, bonds, and market conditions.",2006,41-3031,401
41-3031.00,"Securities, Commodities, and Financial Services Sales Agents","Buy and sell securities in investment and trading firms, or call upon businesses and individuals to sell financial services. Provide financial services, such as loan, tax, and securities counseling. May advise securities customers about such things as stocks, bonds, and market conditions.",2009,41-3031,401
41-3031.00,"Securities, Commodities, and Financial Services Sales Agents","Buy and sell securities or commodities in investment and trading firms, or provide financial services to businesses and individuals. May advise customers about stocks, bonds, mutual funds, commodities, and market conditions.",2010,41-3031,401
41-3031.00,"Securities, Commodities, and Financial Services Sales Agents","Buy and sell securities or commodities in investment and trading firms, or provide financial services to businesses and individuals. May advise customers about stocks, bonds, mutual funds, commodities, and market conditions.",2019,41-3031,401
41-3031.01,"Sales Agents, Securities and Commodities","Buy and sell securities in investment and trading firms and develop and implement financial plans for individuals, businesses, and organizations.",2000,41-3031,401
41-3031.01,"Sales Agents, Securities and Commodities","Buy and sell securities in investment and trading firms and develop and implement financial plans for individuals, businesses, and organizations.",2006,41-3031,401
41-3031.01,"Sales Agents, Securities and Commodities","Buy and sell securities in investment and trading firms and develop and implement financial plans for individuals, businesses, and organizations.",2009,41-3031,401
41-3031.01,"Sales Agents, Securities and Commodities","Buy and sell securities in investment and trading firms and develop and implement financial plans for individuals, businesses, and organizations.",2010,41-3031,401
41-3031.02,"Sales Agents, Financial Services","Sell financial services, such as loan, tax, and securities counseling to customers of financial institutions and business establishments.",2000,41-3031,401
41-3031.02,"Sales Agents, Financial Services","Sell financial services, such as loan, tax, and securities counseling to customers of financial institutions and business establishments.",2006,41-3031,401
41-3031.02,"Sales Agents, Financial Services","Sell financial services, such as loan, tax, and securities counseling to customers of financial institutions and business establishments.",2009,41-3031,401
41-3031.02,"Sales Agents, Financial Services","Sell financial services, such as loan, tax, and securities counseling to customers of financial institutions and business establishments.",2010,41-3031,401
41-3031.03,Securities and Commodities Traders,"Buy and sell securities and commodities to transfer debt, capital, or risk. Establish and negotiate unit prices and terms of sale.",2009,41-3031,401
41-3031.03,Securities and Commodities Traders,"Buy and sell securities and commodities to transfer debt, capital, or risk. Establish and negotiate unit prices and terms of sale.",2010,41-3031,401
41-3091.00,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",Sell services to individuals or businesses. May describe options or resolve client problems.,2019,41-3091,401
41-3099.00,"Sales Representatives, Services, All Other",All services sales representatives not listed separately.,2009,41-3099,401
41-3099.00,"Sales Representatives, Services, All Other",All services sales representatives not listed separately.,2010,41-3099,401
41-3099.01,Energy Brokers,Purchase or sell energy for customers.,2009,41-3099,401
41-3099.01,Energy Brokers,Buy or sell energy products on the behalf of residential or commercial customers or utilities. Negotiate and oversee contracts for energy sales.,2010,41-3099,401
41-3099.99,"Sales Representatives, Services, All Other",All services sales representatives not listed separately.,2000,41-3099,401
41-3099.99,"Sales Representatives, Services, All Other",All services sales representatives not listed separately.,2006,41-3099,401
41-3041.00,Travel Agents,"Plan and sell transportation and accommodations for travel agency customers. Determine destination, modes of transportation, travel dates, costs, and accommodations required.",2000,41-3041,402
41-3041.00,Travel Agents,"Plan and sell transportation and accommodations for travel agency customers. Determine destination, modes of transportation, travel dates, costs, and accommodations required.",2006,41-3041,402
41-3041.00,Travel Agents,"Plan and sell transportation and accommodations for travel agency customers. Determine destination, modes of transportation, travel dates, costs, and accommodations required.",2009,41-3041,402
41-3041.00,Travel Agents,"Plan and sell transportation and accommodations for travel agency customers. Determine destination, modes of transportation, travel dates, costs, and accommodations required. May also describe, plan, and arrange itineraries and sell tour packages. May assist in resolving clients' travel problems.",2010,41-3041,402
41-3041.00,Travel Agents,"Plan and sell transportation and accommodations for customers. Determine destination, modes of transportation, travel dates, costs, and accommodations required. May also describe, plan, and arrange itineraries and sell tour packages. May assist in resolving clients' travel problems.",2019,41-3041,402
41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products","Sell goods for wholesalers or manufacturers where technical or scientific knowledge is required in such areas as biology, engineering, chemistry, and electronics, normally obtained from at least 2 years of post-secondary education.",2000,41-4011,403
41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products","Sell goods for wholesalers or manufacturers where technical or scientific knowledge is required in such areas as biology, engineering, chemistry, and electronics, normally obtained from at least 2 years of post-secondary education.",2006,41-4011,403
41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products","Sell goods for wholesalers or manufacturers where technical or scientific knowledge is required in such areas as biology, engineering, chemistry, and electronics, normally obtained from at least 2 years of post-secondary education.",2009,41-4011,403
41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products","Sell goods for wholesalers or manufacturers where technical or scientific knowledge is required in such areas as biology, engineering, chemistry, and electronics, normally obtained from at least 2 years of post-secondary education.",2010,41-4011,403
41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products","Sell goods for wholesalers or manufacturers where technical or scientific knowledge is required in such areas as biology, engineering, chemistry, and electronics, normally obtained from at least 2 years of postsecondary education.",2019,41-4011,403
41-4011.01,"Sales Representatives, Agricultural","Sell agricultural products and services, such as animal feeds, farm and garden equipment, and dairy, poultry, and veterinarian supplies.",2000,41-4011,403
41-4011.02,"Sales Representatives, Chemical and Pharmaceutical","Sell chemical or pharmaceutical products or services, such as acids, industrial chemicals, agricultural chemicals, medicines, drugs, and water treatment supplies.",2000,41-4011,403
41-4011.03,"Sales Representatives, Electrical/Electronic","Sell electrical, electronic, or related products or services, such as communication equipment, radiographic-inspection equipment and services, ultrasonic equipment, electronics parts, computers, and EDP systems.",2000,41-4011,403
41-4011.04,"Sales Representatives, Mechanical Equipment and Supplies","Sell mechanical equipment, machinery, materials, and supplies, such as aircraft and railroad equipment and parts, construction machinery, material-handling equipment, industrial machinery, and welding equipment.",2000,41-4011,403
41-4011.05,"Sales Representatives, Medical","Sell medical equipment, products, and services. Does not include pharmaceutical sales representatives.",2000,41-4011,403
41-4011.06,"Sales Representatives, Instruments","Sell precision instruments, such as dynamometers and spring scales, and laboratory, navigation, and surveying instruments.",2000,41-4011,403
41-4011.07,Solar Sales Representatives and Assessors,"Contact new or existing customers to determine their solar equipment needs, suggest systems or equipment, or estimate costs.",2009,41-4011,403
41-4011.07,Solar Sales Representatives and Assessors,"Contact new or existing customers to determine their solar equipment needs, suggest systems or equipment, or estimate costs.",2010,41-4011,403
41-4011.07,Solar Sales Representatives and Assessors,"Contact new or existing customers to determine their solar equipment needs, suggest systems or equipment, or estimate costs.",2019,41-4011,403
41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",Sell goods for wholesalers or manufacturers to businesses or groups of individuals. Work requires substantial knowledge of items sold.,2000,41-4012,404
41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",Sell goods for wholesalers or manufacturers to businesses or groups of individuals. Work requires substantial knowledge of items sold.,2006,41-4012,404
41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",Sell goods for wholesalers or manufacturers to businesses or groups of individuals. Work requires substantial knowledge of items sold.,2009,41-4012,404
41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",Sell goods for wholesalers or manufacturers to businesses or groups of individuals. Work requires substantial knowledge of items sold.,2010,41-4012,404
41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",Sell goods for wholesalers or manufacturers to businesses or groups of individuals. Work requires substantial knowledge of items sold.,2019,41-4012,404
41-9011.00,Demonstrators and Product Promoters,Demonstrate merchandise and answer questions for the purpose of creating public interest in buying the product. May sell demonstrated merchandise.,2000,41-9011,405
41-9011.00,Demonstrators and Product Promoters,Demonstrate merchandise and answer questions for the purpose of creating public interest in buying the product. May sell demonstrated merchandise.,2006,41-9011,405
41-9011.00,Demonstrators and Product Promoters,Demonstrate merchandise and answer questions for the purpose of creating public interest in buying the product. May sell demonstrated merchandise.,2009,41-9011,405
41-9011.00,Demonstrators and Product Promoters,Demonstrate merchandise and answer questions for the purpose of creating public interest in buying the product. May sell demonstrated merchandise.,2010,41-9011,405
41-9011.00,Demonstrators and Product Promoters,Demonstrate merchandise and answer questions for the purpose of creating public interest in buying the product. May sell demonstrated merchandise.,2019,41-9011,405
41-9012.00,Models,"Model garments and other apparel to display clothing before prospective buyers at fashion shows, private showings, retail establishments, or photographer. May pose for photos to be used for advertising purposes. May pose as subject for paintings, sculptures, and other types of artistic expression.",2000,41-9012,406
41-9012.00,Models,"Model garments and other apparel to display clothing before prospective buyers at fashion shows, private showings, retail establishments, or photographer. May pose for photos to be used for advertising purposes. May pose as subject for paintings, sculptures, and other types of artistic expression.",2006,41-9012,406
41-9012.00,Models,"Model garments and other apparel to display clothing before prospective buyers at fashion shows, private showings, retail establishments, or photographer. May pose for photos to be used for advertising purposes. May pose as subject for paintings, sculptures, and other types of artistic expression.",2009,41-9012,406
41-9012.00,Models,"Model garments or other apparel and accessories for prospective buyers at fashion shows, private showings, or retail establishments. May pose for photos to be used in magazines or advertisements. May pose as subject for paintings, sculptures, and other types of artistic expression.",2010,41-9012,406
41-9012.00,Models,"Model garments or other apparel and accessories for prospective buyers at fashion shows, private showings, or retail establishments. May pose for photos to be used in magazines or advertisements. May pose as subject for paintings, sculptures, and other types of artistic expression.",2019,41-9012,406
41-9021.00,Real Estate Brokers,"Operate real estate office, or work for commercial real estate firm, overseeing real estate transactions. Other duties usually include selling real estate or renting properties and arranging loans.",2000,41-9021,407
41-9021.00,Real Estate Brokers,"Operate real estate office, or work for commercial real estate firm, overseeing real estate transactions. Other duties usually include selling real estate or renting properties and arranging loans.",2006,41-9021,407
41-9021.00,Real Estate Brokers,"Operate real estate office, or work for commercial real estate firm, overseeing real estate transactions. Other duties usually include selling real estate or renting properties and arranging loans.",2009,41-9021,407
41-9021.00,Real Estate Brokers,"Operate real estate office, or work for commercial real estate firm, overseeing real estate transactions. Other duties usually include selling real estate or renting properties and arranging loans.",2010,41-9021,407
41-9021.00,Real Estate Brokers,"Operate real estate office, or work for commercial real estate firm, overseeing real estate transactions. Other duties usually include selling real estate or renting properties and arranging loans.",2019,41-9021,407
41-9022.00,Real Estate Sales Agents,"Rent, buy, or sell property for clients. Perform duties, such as study property listings, interview prospective clients, accompany clients to property site, discuss conditions of sale, and draw up real estate contracts. Includes agents who represent buyer.",2000,41-9022,408
41-9022.00,Real Estate Sales Agents,"Rent, buy, or sell property for clients. Perform duties, such as study property listings, interview prospective clients, accompany clients to property site, discuss conditions of sale, and draw up real estate contracts. Includes agents who represent buyer.",2006,41-9022,408
41-9022.00,Real Estate Sales Agents,"Rent, buy, or sell property for clients. Perform duties, such as study property listings, interview prospective clients, accompany clients to property site, discuss conditions of sale, and draw up real estate contracts. Includes agents who represent buyer.",2009,41-9022,408
41-9022.00,Real Estate Sales Agents,"Rent, buy, or sell property for clients. Perform duties, such as study property listings, interview prospective clients, accompany clients to property site, discuss conditions of sale, and draw up real estate contracts. Includes agents who represent buyer.",2010,41-9022,408
41-9022.00,Real Estate Sales Agents,"Rent, buy, or sell property for clients. Perform duties such as study property listings, interview prospective clients, accompany clients to property site, discuss conditions of sale, and draw up real estate contracts. Includes agents who represent buyer.",2019,41-9022,408
41-9031.00,Sales Engineers,"Sell business goods or services, the selling of which requires a technical background equivalent to a baccalaureate degree in engineering.",2000,41-9031,409
41-9031.00,Sales Engineers,"Sell business goods or services, the selling of which requires a technical background equivalent to a baccalaureate degree in engineering.",2006,41-9031,409
41-9031.00,Sales Engineers,"Sell business goods or services, the selling of which requires a technical background equivalent to a baccalaureate degree in engineering.",2009,41-9031,409
41-9031.00,Sales Engineers,"Sell business goods or services, the selling of which requires a technical background equivalent to a baccalaureate degree in engineering.",2010,41-9031,409
41-9031.00,Sales Engineers,"Sell business goods or services, the selling of which requires a technical background equivalent to a baccalaureate degree in engineering.",2019,41-9031,409
41-9041.00,Telemarketers,Solicit orders for goods or services over the telephone.,2000,41-9041,410
41-9041.00,Telemarketers,Solicit orders for goods or services over the telephone.,2006,41-9041,410
41-9041.00,Telemarketers,Solicit orders for goods or services over the telephone.,2009,41-9041,410
41-9041.00,Telemarketers,Solicit donations or orders for goods or services over the telephone.,2010,41-9041,410
41-9041.00,Telemarketers,Solicit donations or orders for goods or services over the telephone.,2019,41-9041,410
41-9091.00,"Door-To-Door Sales Workers, News and Street Vendors, and Related Workers",Sell goods or services door-to-door or on the street.,2000,41-9091,411
41-9091.00,"Door-To-Door Sales Workers, News and Street Vendors, and Related Workers",Sell goods or services door-to-door or on the street.,2006,41-9091,411
41-9091.00,"Door-To-Door Sales Workers, News and Street Vendors, and Related Workers",Sell goods or services door-to-door or on the street.,2009,41-9091,411
41-9091.00,"Door-To-Door Sales Workers, News and Street Vendors, and Related Workers",Sell goods or services door-to-door or on the street.,2010,41-9091,411
41-9091.00,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",Sell goods or services door-to-door or on the street.,2019,41-9091,411
41-9099.00,"Sales and Related Workers, All Other",All sales and related workers not listed separately.,2009,41-9099,412
41-9099.00,"Sales and Related Workers, All Other",All sales and related workers not listed separately.,2010,41-9099,412
41-9099.00,"Sales and Related Workers, All Other",All sales and related workers not listed separately.,2019,41-9099,412
41-9099.99,"Sales and Related Workers, All Other",All sales and related workers not listed separately.,2000,41-9099,412
41-9099.99,"Sales and Related Workers, All Other",All sales and related workers not listed separately.,2006,41-9099,412
43-1011.00,First-Line Supervisors/Managers of Office and Administrative Support Workers,Supervise and coordinate the activities of clerical and administrative support workers.,2000,43-1011,413
43-1011.00,First-Line Supervisors/Managers of Office and Administrative Support Workers,Supervise and coordinate the activities of clerical and administrative support workers.,2006,43-1011,413
43-1011.00,First-Line Supervisors/Managers of Office and Administrative Support Workers,Supervise and coordinate the activities of clerical and administrative support workers.,2009,43-1011,413
43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,Directly supervise and coordinate the activities of clerical and administrative support workers.,2010,43-1011,413
43-1011.00,First-Line Supervisors of Office and Administrative Support Workers,Directly supervise and coordinate the activities of clerical and administrative support workers.,2019,43-1011,413
43-1011.01,"First-Line Supervisors, Customer Service",Supervise and coordinate activities of workers involved in providing customer service.,2000,43-1011,413
43-1011.02,"First-Line Supervisors, Administrative Support",Supervise and coordinate activities of workers involved in providing administrative support.,2000,43-1011,413
43-2011.00,"Switchboard Operators, Including Answering Service","Operate telephone business systems equipment or switchboards to relay incoming, outgoing, and interoffice calls. May supply information to callers and record messages.",2000,43-2011,414
43-2011.00,"Switchboard Operators, Including Answering Service","Operate telephone business systems equipment or switchboards to relay incoming, outgoing, and interoffice calls. May supply information to callers and record messages.",2006,43-2011,414
43-2011.00,"Switchboard Operators, Including Answering Service","Operate telephone business systems equipment or switchboards to relay incoming, outgoing, and interoffice calls. May supply information to callers and record messages.",2009,43-2011,414
43-2011.00,"Switchboard Operators, Including Answering Service","Operate telephone business systems equipment or switchboards to relay incoming, outgoing, and interoffice calls. May supply information to callers and record messages.",2010,43-2011,414
43-2011.00,"Switchboard Operators, Including Answering Service","Operate telephone business systems equipment or switchboards to relay incoming, outgoing, and interoffice calls. May supply information to callers and record messages.",2019,43-2011,414
43-2021.00,Telephone Operators,"Provide information by accessing alphabetical and geographical directories. Assist customers with special billing requests, such as charges to a third party and credits or refunds for incorrectly dialed numbers or bad connections. May handle emergency calls and assist children or people with physical disabilities to make telephone calls.",2000,43-2021,415
43-2021.00,Telephone Operators,"Provide information by accessing alphabetical and geographical directories. Assist customers with special billing requests, such as charges to a third party and credits or refunds for incorrectly dialed numbers or bad connections. May handle emergency calls and assist children or people with physical disabilities to make telephone calls.",2006,43-2021,415
43-2021.00,Telephone Operators,"Provide information by accessing alphabetical and geographical directories. Assist customers with special billing requests, such as charges to a third party and credits or refunds for incorrectly dialed numbers or bad connections. May handle emergency calls and assist children or people with physical disabilities to make telephone calls.",2009,43-2021,415
43-2021.00,Telephone Operators,"Provide information by accessing alphabetical, geographical, or other directories. Assist customers with special billing requests, such as charges to a third party and credits or refunds for incorrectly dialed numbers or bad connections. May handle emergency calls and assist children or people with physical disabilities to make telephone calls.",2010,43-2021,415
43-2021.00,Telephone Operators,"Provide information by accessing alphabetical, geographical, or other directories. Assist customers with special billing requests, such as charges to a third party and credits or refunds for incorrectly dialed numbers or bad connections. May handle emergency calls and assist children or people with physical disabilities to make telephone calls.",2019,43-2021,415
43-2021.01,Directory Assistance Operators,Provide telephone information from central office switchboard. Refer to alphabetical or geographical reels or directories to answer questions or suggest answer sources.,2000,43-2021,415
43-2021.02,Central Office Operators,Operate telephone switchboard to establish or assist customers in establishing local or long-distance telephone connections.,2000,43-2021,415
43-3011.00,Bill and Account Collectors,"Locate and notify customers of delinquent accounts by mail, telephone, or personal visit to solicit payment. Duties include receiving payment and posting amount to customer's account; preparing statements to credit department if customer fails to respond; initiating repossession proceedings or service disconnection; keeping records of collection and status of accounts.",2000,43-3011,416
43-3011.00,Bill and Account Collectors,"Locate and notify customers of delinquent accounts by mail, telephone, or personal visit to solicit payment. Duties include receiving payment and posting amount to customer's account; preparing statements to credit department if customer fails to respond; initiating repossession proceedings or service disconnection; keeping records of collection and status of accounts.",2006,43-3011,416
43-3011.00,Bill and Account Collectors,"Locate and notify customers of delinquent accounts by mail, telephone, or personal visit to solicit payment. Duties include receiving payment and posting amount to customer's account; preparing statements to credit department if customer fails to respond; initiating repossession proceedings or service disconnection; keeping records of collection and status of accounts.",2009,43-3011,416
43-3011.00,Bill and Account Collectors,"Locate and notify customers of delinquent accounts by mail, telephone, or personal visit to solicit payment. Duties include receiving payment and posting amount to customer's account; preparing statements to credit department if customer fails to respond; initiating repossession proceedings or service disconnection; and keeping records of collection and status of accounts.",2010,43-3011,416
43-3011.00,Bill and Account Collectors,"Locate and notify customers of delinquent accounts by mail, telephone, or personal visit to solicit payment. Duties include receiving payment and posting amount to customer's account, preparing statements to credit department if customer fails to respond, initiating repossession proceedings or service disconnection, and keeping records of collection and status of accounts.",2019,43-3011,416
43-3021.00,Billing and Posting Clerks and Machine Operators,"Compile, compute, and record billing, accounting, statistical, and other numerical data for billing purposes. Prepare billing invoices for services rendered or for delivery or shipment of goods.",2000,43-3021,417
43-3021.00,Billing and Posting Clerks and Machine Operators,"Compile, compute, and record billing, accounting, statistical, and other numerical data for billing purposes. Prepare billing invoices for services rendered or for delivery or shipment of goods.",2006,43-3021,417
43-3021.00,Billing and Posting Clerks and Machine Operators,"Compile, compute, and record billing, accounting, statistical, and other numerical data for billing purposes. Prepare billing invoices for services rendered or for delivery or shipment of goods.",2009,43-3021,417
43-3021.00,Billing and Posting Clerks,"Compile, compute, and record billing, accounting, statistical, and other numerical data for billing purposes. Prepare billing invoices for services rendered or for delivery or shipment of goods.",2010,43-3021,417
43-3021.00,Billing and Posting Clerks,"Compile, compute, and record billing, accounting, statistical, and other numerical data for billing purposes. Prepare billing invoices for services rendered or for delivery or shipment of goods.",2019,43-3021,417
43-3021.01,Statement Clerks,"Prepare and distribute bank statements to customers, answer inquiries, and reconcile discrepancies in records and accounts.",2000,43-3021,417
43-3021.01,Statement Clerks,"Prepare and distribute bank statements to customers, answer inquiries, and reconcile discrepancies in records and accounts.",2006,43-3021,417
43-3021.01,Statement Clerks,"Prepare and distribute bank statements to customers, answer inquiries, and reconcile discrepancies in records and accounts.",2009,43-3021,417
43-3021.01,Statement Clerks,"Prepare and distribute bank statements to customers, answer inquiries, and reconcile discrepancies in records and accounts.",2010,43-3021,417
43-3021.02,"Billing, Cost, and Rate Clerks","Compile data, compute fees and charges, and prepare invoices for billing purposes. Duties include computing costs and calculating rates for goods, services, and shipment of goods; posting data; and keeping other relevant records. May involve use of computer or typewriter, calculator, and adding and bookkeeping machines.",2000,43-3021,417
43-3021.02,"Billing, Cost, and Rate Clerks","Compile data, compute fees and charges, and prepare invoices for billing purposes. Duties include computing costs and calculating rates for goods, services, and shipment of goods; posting data; and keeping other relevant records. May involve use of computer or typewriter, calculator, and adding and bookkeeping machines.",2006,43-3021,417
43-3021.02,"Billing, Cost, and Rate Clerks","Compile data, compute fees and charges, and prepare invoices for billing purposes. Duties include computing costs and calculating rates for goods, services, and shipment of goods; posting data; and keeping other relevant records. May involve use of computer or typewriter, calculator, and adding and bookkeeping machines.",2009,43-3021,417
43-3021.02,"Billing, Cost, and Rate Clerks","Compile data, compute fees and charges, and prepare invoices for billing purposes. Duties include computing costs and calculating rates for goods, services, and shipment of goods; posting data; and keeping other relevant records. May involve use of computer or typewriter, calculator, and adding and bookkeeping machines.",2010,43-3021,417
43-3021.03,"Billing, Posting, and Calculating Machine Operators","Operate machines that automatically perform mathematical processes, such as addition, subtraction, multiplication, and division, to calculate and record billing, accounting, statistical, and other numerical data. Duties include operating special billing machines to prepare statements, bills, and invoices, and operating bookkeeping machines to copy and post data, make computations, and compile records of transactions.",2000,43-3021,417
43-3021.03,"Billing, Posting, and Calculating Machine Operators","Operate machines that automatically perform mathematical processes, such as addition, subtraction, multiplication, and division, to calculate and record billing, accounting, statistical, and other numerical data. Duties include operating special billing machines to prepare statements, bills, and invoices, and operating bookkeeping machines to copy and post data, make computations, and compile records of transactions.",2006,43-3021,417
43-3021.03,"Billing, Posting, and Calculating Machine Operators","Operate machines that automatically perform mathematical processes, such as addition, subtraction, multiplication, and division, to calculate and record billing, accounting, statistical, and other numerical data. Duties include operating special billing machines to prepare statements, bills, and invoices, and operating bookkeeping machines to copy and post data, make computations, and compile records of transactions.",2009,43-3021,417
43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks","Compute, classify, and record numerical data to keep financial records complete. Perform any combination of routine calculating, posting, and verifying duties to obtain primary financial data for use in maintaining accounting records. May also check the accuracy of figures, calculations, and postings pertaining to business transactions recorded by other workers.",2000,43-3031,418
43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks","Compute, classify, and record numerical data to keep financial records complete. Perform any combination of routine calculating, posting, and verifying duties to obtain primary financial data for use in maintaining accounting records. May also check the accuracy of figures, calculations, and postings pertaining to business transactions recorded by other workers.",2006,43-3031,418
43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks","Compute, classify, and record numerical data to keep financial records complete. Perform any combination of routine calculating, posting, and verifying duties to obtain primary financial data for use in maintaining accounting records. May also check the accuracy of figures, calculations, and postings pertaining to business transactions recorded by other workers.",2009,43-3031,418
43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks","Compute, classify, and record numerical data to keep financial records complete. Perform any combination of routine calculating, posting, and verifying duties to obtain primary financial data for use in maintaining accounting records. May also check the accuracy of figures, calculations, and postings pertaining to business transactions recorded by other workers.",2010,43-3031,418
43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks","Compute, classify, and record numerical data to keep financial records complete. Perform any combination of routine calculating, posting, and verifying duties to obtain primary financial data for use in maintaining accounting records. May also check the accuracy of figures, calculations, and postings pertaining to business transactions recorded by other workers.",2019,43-3031,418
43-3041.00,Gaming Cage Workers,"In a gaming establishment, conduct financial transactions for patrons. May reconcile daily summaries of transactions to balance books. Accept patron's credit application and verify credit references to provide check-cashing authorization or to establish house credit accounts. May sell gambling chips, tokens, or tickets to patrons, or to other workers for resale to patrons. May convert gaming chips, tokens, or tickets to currency upon patron's request. May use a cash register or computer to record transaction.",2000,43-3041,419
43-3041.00,Gaming Cage Workers,"In a gaming establishment, conduct financial transactions for patrons. May reconcile daily summaries of transactions to balance books. Accept patron's credit application and verify credit references to provide check-cashing authorization or to establish house credit accounts. May sell gambling chips, tokens, or tickets to patrons, or to other workers for resale to patrons. May convert gaming chips, tokens, or tickets to currency upon patron's request. May use a cash register or computer to record transaction.",2006,43-3041,419
43-3041.00,Gaming Cage Workers,"In a gaming establishment, conduct financial transactions for patrons. May reconcile daily summaries of transactions to balance books. Accept patron's credit application and verify credit references to provide check-cashing authorization or to establish house credit accounts. May sell gambling chips, tokens, or tickets to patrons, or to other workers for resale to patrons. May convert gaming chips, tokens, or tickets to currency upon patron's request. May use a cash register or computer to record transaction.",2009,43-3041,419
